,작성자,시간,내용
999,stee****,2022.10.08. 15:50,대통령 되기 전인 경선 후보자 시절때도 막말 때문에 구설수에 올라갔는데 이양희가 그때 봐줬지
1000,jang****,2022.10.08. 15:50,민주당가서 대권후보로 나가라 아마 국힘에있을때보다 표 더많이 나올걸?
1001,gksd****,2022.10.08. 15:50,맞는말인데 화내는사람들은 뭐지?
1002,baek****,2022.10.08. 15:50,배신자야 그입이나 다물라~~니가 감히~~~
1003,myc5****,2022.10.08. 15:50,더불어만진당은 자기 식구들은 범죄자라도 감싸주는데 국민의힘은 자기 식구들도 서로 헐뜯고 까네
1004,edga****,2022.10.08. 15:50,민주당 스파이야. 간첩질 중단하고 이준석 손잡고 국힘당에서 좀 사라져라
1005,sups****,2022.10.08. 15:49,니는 평소 하는말에 다 징계하나?
1006,jok5****,2022.10.08. 15:49,틀니들 거품 무는거 보니 핵심 제대로 찔렀다는거네ㅋㅋ 유승민 응원한다!
1007,govf****,2022.10.08. 15:49,장인 사위 요 쓰레기 두 놈만 없어지면 된다
1008,yjer****,2022.10.08. 15:48,"대한민국이 완전히 무너지고있네 //원칙과상식이없는혐오정치 증오정치 쪽수정치 대그빡숫자정치 대한민국 악의무리들 //양두구육 용산개고기 수백억에서 수천억 비용낭비//물가와 환율, 금리폭등 속에 도탄에 빠진 민생을 뒷전에 내팽개친 채 한가한 말장난으로 잘못을 덮으려는 권력의 처신은 더 큰 화를 자초할 뿐/지지율20%대도 기적이다~ 그냥 사퇴나 사임해라 국가를위해 //준석이한테도 이sgg저sgg했을거같은노마//ㅋㅋ 이Gsgg 끝없는 거짓말 저의 안사람 허위경력 아닙니다// 허위경력증명서 총18개//저의 장모님 10원한장 받지않았습니다 나라"
1009,leec****,2022.10.08. 17:41,역쉬 한번 배신자는 영원한 배신자여~~~그냥 나가서 창당해라~~국민의 힘에서 분탕질 하지말고~~~
1010,jjan****,2022.10.08. 15:48,승민 이식끼. 더불어 사기꾼들에게.돈 먹어저..?
1011,hera****,2022.10.08. 15:48,맞지 다 공평해야지
1012,kayh****,2022.10.08. 15:48,승민아 찌거러저 가만이 있거라 니가정치인이 맞나 ㅡ
1013,khi0****,2022.10.08. 15:48,배신자. 배신자. 배신자. 꺼져라. 준석이. 태경이와 같이 더불어 만진당으로 꺼져라
1014,syyo****,2022.10.08. 15:48,또라이아냐?
1015,hjpa****,2022.10.08. 15:47,mbc를 징계해야지 ㅅ.ㅇ민아
1016,doch****,2022.10.08. 15:47,옳소!!!
1017,hh74****,2022.10.08. 15:47,꺼져라 유배신 니놈이 무슨 보수냐? 좌파보다 더한 놈
1018,hava****,2022.10.08. 15:46,이XX가 말장난하네...
1019,leat****,2022.10.08. 15:46,당연히 징계해 그래야 공정하지 징계 안하면 윤썩열표 부동시 공정
1020,jind****,2022.10.08. 15:46,승민이 이xx를 진작에 제명시켰어야....지 혼자 자난노미 새 정당을 만들거나...에잇 한 마디로 재수....밴댕이 속알머리라고는ᆢ
1021,site****,2022.10.08. 15:46,유승민은 뭐임????????????????
1022,lhg8****,2022.10.08. 15:46,보수흉내 내지말고 제발 민주당으로 오세요. 여기와서 석열정부랑 싸워주세요. 혹 모르 잖아요. 민주당 대권주자가 유력할지!
1023,yena****,2022.10.08. 15:45,진짜 아무리봐도 유승민밖에 없네 답답하노
