,작성자,시간,내용
536,croi****,2022.10.08. 17:44,쌓인게 있다고해도 자당 대통령에게 어떻게 그런말을..괜찬은 사람으로 봤는데 보기보다 실망.. 김무성이처럼 쥐죽은듯 반성하고 있어야 다음번 기회가 오지 그렇게 까불다가는 보수에서 영원히 제명
537,stre****,2022.10.08. 17:44,정체가 뭘까;:
538,efon****,2022.10.08. 17:44,승민아~!니 말이 맞긴한데..너 그런식으로 살지마라..ㅉㅉ
539,gaea****,2022.10.08. 21:55,배신자간나구잡것이 꼴값떨고 있네
540,supe****,2022.10.08. 17:44,윤 대통령이랑 성상납 개차반 준돌이랑 같냐? 배신자 유승민 제 정신이냐?
541,ajjh****,2022.10.08. 17:44,어이 윤당원님! 얘기 좀 해봐요!
542,then****,2022.10.08. 17:43,사리분별 못하네. 욕도 아닌 일상용어 가지고 성상납과 금품으로 범죄를 무마시도한걸 동일하게 보네. 이준석 유승민 김무성은 패키지로 보내야국힘이 산다. 민주당 빼고 이 셋 지지하는 사람없다.
543,olo3****,2022.10.08. 17:43,유승민의원님 존경합니다 의원님 덕에 대한민국이 자랑스럽고 감동 입니다
544,star****,2022.10.08. 17:43,아 진짜 너무 갈때 가네 노욕이 심하다. 당에서 입지가 없으면 그냥 예전처럼 하시지... 이건 뭐하자는건지. 경제부총리 감이 아니라고 생각했던가 생각한 경제안이 현정부랑 안맞아서 자리 안준건데 자기랑 뜻 안맞다고 이러는건 참... 안철수나 원희룡은 현정부랑 맞으니 데려가는건데 저렇게 하자는건 뭐 끝까지 가잔느거지 이준석다음은 본인이란거 잘 아는건가...
545,gonr****,2022.10.08. 19:15,승민아 배신자는아닥하고있어라
546,moon****,2022.10.08. 17:43,그만해라 절대 득이 안되는것에는 똥물을 안 만지는 넘
547,kkm4****,2022.10.08. 17:43,시끄러워 이 XXXXXXX야
548,plan****,2022.10.08. 17:43,등에 칼 꽂는거 전문 유승민. 그걸 배운 이준석
549,wsta****,2022.10.08. 17:43,배신자 유승민의 내부총질부터 중징계해야하는거 아닌가 묻고 싶다???
550,sido****,2022.10.08. 17:43,그러게요~ 왜 징계안해~ㅠ
551,gerr****,2022.10.08. 17:42,슨민이와 준서기는 탄핵놀이 주인공 이제 슬슬 시작 하누만 둘이 나가서 바구미당 다시 만들어라
552,pde2****,2022.10.08. 17:42,권력의 하수인들은 차기불출마 선언하라.공천권 때문에 징계한다면 공당의 윤리위가 아니다
553,yong****,2022.10.08. 17:42,유승민 이자식 정신 나갔구먼~
554,taek****,2022.10.08. 19:56,배신의 아이콘이 열린 입이라고 기회만 왔다하면 쯧
555,jiwo****,2022.10.08. 17:42,이준석과 유승민 국힘당 탈당해라!!! 내부총질 말고... 더이상은 못봐주겠다.
556,rib2****,2022.10.08. 17:42,유일하게 생각이 깨어있는 보수 정치인 의인이시다.
557,jsi4****,2022.10.08. 17:42,기회주의자 드러운 놈
558,jin2****,2022.10.08. 17:42,이분정신차리시길똑똑한 분같은데
559,yski****,2022.10.08. 17:41,그때 박전대통령이. 쓴소리를 가슴깊이 새겨듣고 화합했으면 탄핵은 안당했을건디ㅣㅣ...
560,jswo****,2022.10.08. 17:41,"지도자가 되겠다면서 배신, 내부총질, 내분조장과 내부권력다툼, 얇디얇은 혓놀림…민주당 패악질과 싸워 피를 흘린 꼬라지를 본 적이 없다. 준서기 태경이와 함께 민주당으로 꺼져라"
561,good****,2022.10.08. 17:41,승미니 입술이 얇삽하게 생긴게..생긴대로 터는구낭
562,yach****,2022.10.08. 17:40,"맞는 말씀 하셨네!! 지는 국제적으로 욕해도 되고, 다른사람이 욕하면 처벌 받는 개한민국.."
563,msoo****,2022.10.08. 17:40,돌아이
564,cho1****,2022.10.08. 17:40,윤대통령 탄핸시키고 그대가 대통령할려구 참배신자는 역시 배신자야
565,migg****,2022.10.08. 17:40,니가 박대통령 자당 대통령을 탄핵한 그 짓은 제명 받아야 당연한 거다. 입 좀 닫고 있어라. 우파국민들에게 얼마나 더 미움 받아야 할래?
566,kimm****,2022.10.08. 17:40,유승민 의원을 배신자라고 부르는 사람은 스스로가 비겁한 인생을 살고 있는 분들입니다~자기자신의 신념이나 잘 생각해보세요~!
567,3018****,2022.10.08. 17:39,유승민 멋지다. 잘못을 인정하고 반성할줄 아는 사람이 대통령이 되야하는데. 어디서 윤족발이 갑툭튀해서 개소름 돋는다. 욕한거 기억이 안나는게 말이냐 치매왔냐. 욕한거 안들린다는 인간들은 늙어서 귀먹었냐? 똑바로좀 해라. 준표형이랑 유승민 빼고 국힘은 다 썩어 빠진듯
568,hong****,2022.10.08. 17:39,국민이 잘봐줄때 잘해야지? 쓰레기들과 한무리가되는구나?
569,park****,2022.10.08. 17:39,대한민국은 민주공화국이다 아이콘 제대로 쓰면 유가가 세상을 확 바꿀 인재임에 틀리없다아니가.........
570,bruc****,2022.10.08. 17:39,제명 또는 사형이 옳은 답이다
571,dh21****,2022.10.08. 17:39,국민의 힘이 극우들의 세상이 되면 국민의 심판을 반드시 받을 것이다. 민주당이 실패한이유 또한 국민의 말에 귀 기울이지 않고 극좌들에 끌려다녔기 때문이라는 것을 알지않나?? 대다수 중도는 극우 극좌들에게 신물난다 진짜 지겹다
572,pgpa****,2022.10.08. 17:38,배신자 처단이 먼저지 승민아
573,hpvp****,2022.10.08. 17:38,이짜샤 입술이 왜 쪽새를 닮았는지 이해가 간다 ㆍ촉새질은 집에가서 해라
574,jyjo****,2022.10.08. 17:38,안한걸 했다고 우기는 당신은 뭐냐??국힘당에서 나가시지요 분탕질 하지 마시고
575,edup****,2022.10.08. 17:38,맨날 남의 발목 잡고 뒤통수치는 무의미한 인생... 추한 늙은이
576,hora****,2022.10.08. 17:38,증세없는 복지는. 허구라고 자기당에 한소리가 배신자란분들. ? 가슴손 얺고 생각해. 맞다면. 무식하다본다
577,rfc9****,2022.10.08. 17:37,배신자
578,ky72****,2022.10.08. 17:36,에휴. 왜 저렇게 되었는지
579,wpqk****,2022.10.08. 17:36,배신자 유. 인간은 고쳐쓰는게 아니야
580,solo****,2022.10.08. 17:36,역시 배신에 아이콘답다 여지없죠? 내부총질 ㅋㅋ
581,xx03****,2022.10.08. 17:36,더불당에 유촉새나 국힘에 유촉새나...... 절이 싫으면 떠나라 유촉새야 '쪽 팔린다'는 국어 사전에도 나와 있고 흔히들 쓰는 얘기다 '이XX'는 '이사람'이고!!!!!!! 쪽 팔린다 니가 국힘의 당원이란 것이!!!!!!! 준석이랑 당 하나 만들어서 대표하고 원내대표하고 해!!!!!!!!!
582,emjh****,2022.10.08. 17:36,배신자 유승민이! 니 정체를 이번에 확실히 드러내 주어 고맙다! 지난번 신촌에서 윤석열 지지 연설은 뭐였냐! 너가 키운 이준석이랑 영원히 정치판에서 떠나라!!
583,lili****,2022.10.08. 17:35,좀팽이같이 생긴놈이 좀팽이같은 소릴하고 자빠졌네. 대통령한테 당원? 막가자는 거네.
584,toto****,2022.10.08. 17:34,쩍버리에 비하면 박근혜 대통령은 세종대왕/루즈벨트급이다. ㅋㅋㅋ
585,anak****,2022.10.08. 17:34,그래서 이준석 성상납과 증거인멸행위에 대한 니 입장은 뭔데?
586,ho-g****,2022.10.08. 17:34,적당히 하시오
587,issm****,2022.10.08. 17:34,그만 좀 했으면이게 뭡니까
588,nakr****,2022.10.08. 17:33,국개당을 신봉 하는자 들의 돌 대가리에는 무엇이 들어 있는건지 의아 스럽다... 정적이라고 비평을 한다고 징계하고 그러고 남은 놈들끼리 무엇이 될거라 생각하는 바보들을 왜 지지하는건지... 잘잘못을 비판을하고 더 발전하는 국개당이 되도록 비평하며 충고하는 그런 부류들은 없는 것인가 ???? 징계도 일률적인 잣대도 없고 기분 내키는 대로 하는 것으로 보아서 깡패 집단 같아 보인다... 자숙하라~~~~
589,k957****,2022.10.08. 17:45,소신있는사람에게~배신자란말은어울리지않죠?국민의힘은없어져야할당!유승민이했던바른미래당이~차라리존속했다면!강력한보수가될터인데!
590,msh9****,2022.10.08. 17:32,이딴 사고방식이니 박근혜 탄핵에 주자동자 역활을 햇것지 뜻은 알겠지만 호시탐탐 빨갱이가 나라를 노리는데...니같은 인간이 좌빨의 동조자라는거다
591,2616****,2022.10.08. 17:32,이준돌이랑 몇몇 얼빠진 추종자들과 함께 탈당해서 뒷통수당 하나 창당이나 해라. 내부총질 그쯤하고 창당해서 니들 본색드러내며 밖에서 실컷 비판질해라.
592,mood****,2022.10.08. 17:32,유승민.이준석.이재명 셋트로 묶어서 감옥보냈음 좋겠다
593,dotj****,2022.10.08. 17:32,윤석열은 김정은. 귄성동은 김여정급인가 ?배신자. 소리하려면 윤과 권이 최우선이지 생각드는데. 여러분은?
594,dong****,2022.10.08. 17:32,이 유승민ㆍ유시민 둘이많이닮았지? 생김뿐만아니라 하는짖거리도~ ㅋ
595,scri****,2022.10.08. 17:32,박근혜 감옥에서 DG라고 40년 구형때린 놈들이 쩍버리/똥훈이다. ㅋㅋㅋ
596,khue****,2022.10.08. 17:32,옳소. 짝짝짝
597,ycry****,2022.10.08. 17:32,그런걸로 따지자면 당을 배신한 배신자는 종신형 정도는 받아야 되겠네요.
598,sukh****,2022.10.08. 17:32,유승민 요놈정신돌았나봐.먹고살기힘드냐?유치하기 짝이없구나.국민의힘이 잘되지도않는구만.이준석이놈하고 두놈이서 국민의힘 망조들게하는구나.차라리 민주당으로가서 지껄이거라.니두놈은누구네편이냐?헷갈린다.
599,ldk8****,2022.10.08. 17:31,유승민 반란을 일으킨 역적... 배신의 아이콘
600,iwc7****,2022.10.08. 17:31,박근혜 등에 칼을 꽂은 배신자. 잊지 맙시다
601,miyg****,2022.10.08. 17:31,치타 달리는구나. 치타 달려라.치타 달리는구나. 치타 달려라.치타 달리는구나. 치타 달려라.치타 달리는구나. 치타 달려라.
602,lage****,2022.10.08. 17:30,준석이랑. 나가서. 신당차리소. 여긴 가치관이 다르니까
603,mare****,2022.10.08. 17:30,배신자의 DNA가 꿈틀거리고 있다. 짓밟아 버려야 입을 다물고 다시는 배신행위를 못할것임.
604,solo****,2022.10.08. 17:30,너나잘해 배신자
605,stor****,2022.10.08. 17:31,승민아 그냥 탈당해. 너 탈당 잘하잖아. 역사는 널 배신의 아이콘으로 기록할거야.
606,moru****,2022.10.08. 17:29,ㅋㅋ 승민아
607,hong****,2022.10.08. 17:29,뭐래????미친거아냐????
608,djho****,2022.10.08. 17:29,민주당과 한패거리들
609,bokj****,2022.10.08. 17:26,유승민은 국힘의 간첩같은존재
610,0602****,2022.10.08. 17:26,배신자 유승민 너는 전과4범 이재명만 돕는다.gsgg
611,chac****,2022.10.08. 17:26,아직도 씰데없는 얘기 말해도 듣는 사람은 없다..... 애제자 준석이랑 함께 모여서 조용히 살아라 얼굴보기 싫다....
612,taeh****,2022.10.08. 17:25,배신자 유승민은 입다물고 있어라. 중간이라도 유지할려면
613,shjy****,2022.10.08. 17:25,쪽팔려서 다말문이 막혀 말못하고있을까어떤상황 인데요
614,gibb****,2022.10.08. 17:25,썩얼은 국민이 끌어내리니 걱정마슈~ 촛불...
615,qk84****,2022.10.08. 17:24,입이 욕하는것보다 뇌가 욕하는 승민이는 끄져라 임!
616,slyw****,2022.10.08. 17:24,승민 용쓰네 그래도 비겁한. 넌 안되 박근혜말아먹고이젠 윤석열 말아 먹으려고 얻는게 뭐야 늬가 대통령?개가 웃겠다 집간장이나 단속 잘하렴 누굴 밟아 죽인뒤에 얻겠다는 사고방식 고치기전엔 깜이 아니라겡상도싸나이가씀
617,kizm****,2022.10.08. 17:24,유승민 박근혜 탄핵주동 배신자 얼릉 없애라
618,luci****,2022.10.08. 17:24,쫌없어보여요.
619,fine****,2022.10.08. 17:24,그겨 징계감이면 너희 둘은?
620,chun****,2022.10.08. 17:23,사이다네요. 이런사람이 대통령이 되었어야 했는데. 듣보잡들이 여당을 먹은뒤에 바람잘날이 없네요.
621,dotj****,2022.10.08. 17:23,발악을 하는구나 끝까지 이젠 배신자는 끝까지 쳐낸다
622,seri****,2022.10.08. 17:23,지겹다 이 뉴스..며칠째 띄우는 거냐..
623,chiu****,2022.10.08. 17:22,탈당해서 준서기랑 잘살아라
624,dhjs****,2022.10.08. 17:22,배신의 아이콘 입닫아라
625,yasd****,2022.10.08. 17:22,배신자가 또 도작질 할려고 시동 거는거냐?
626,okhi****,2022.10.08. 17:21,공정상식은..개뿔..불통에 국민여론 무시하는 윤무식이는 탄핵이 답이다.
627,ppon****,2022.10.08. 17:21,너도 그만해라 지저분해보인다
628,hanv****,2022.10.08. 17:21,그 밥에 그 나물이란 생각이 든다. 내부총질도 이젠 식상하다. 이준석과 어찌 그렇게 캐릭터가 겹치냐? 밉상이다.
629,jpjp****,2022.10.08. 17:20,너이제 미첬구나 배신의 황제
630,jiwo****,2022.10.08. 17:20,유승민 ㅋㅋㅋㅋㅋㅋ 또 탄핵에 앞장설려고요??
631,houn****,2022.10.08. 17:20,용산개고기 추앙하는 인간들 좃...
632,hotl****,2022.10.08. 17:20,무능한 윤석열 이xx 때문에 국격 떨어진다. 손바닥 왕자 쓰고 나왔을 때부터 이상한 xx
633,kkjt****,2022.10.08. 17:19,그만해라 지겹다 그래 너 잘났다 너혼자 정치하고 주위에 아무도 없는데 누가 널좋아하겠니 여지껏 욕얻어먹어가면서 응원했지만 이번에 하는꼬라지보고 이제 거둔다 새롭게 태어나지 않은담에야 넌이제 국회에 들어가기도 힘들겠다 맹꽁아 공부만 잘하는 맹꽁이다
634,pjh4****,2022.10.08. 17:19,유승민 xxx지구를떠라거라
635,pjw4****,2022.10.08. 17:18,당신이 진정한 보수입니다' 라고 글 쓴 사람 ➡️ 이전 댓글 보면 이준석도 응원함. 정체는 민주당 지지자인 대깨명 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ 미치겠다 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ
636,ppau****,2022.10.08. 17:18,한번 배신자는 영원한 배신자...뒤통수 칠려거든 더듬당가라
637,han3****,2022.10.08. 17:18,맞는말
638,hunk****,2022.10.08. 17:17,여기서 징징거리지말고 신당 창당 허던가
639,lhsh****,2022.10.08. 17:16,스미나...뭘 위해 그리하냐 ㅉㅉㅉ... 배신의 아이콘이 되려고하냐
640,shtm****,2022.10.08. 17:16,사이다 발언
641,shun****,2022.10.08. 17:16,"참나, 지금 정권이 잘돼야, 보수 쪽에선 다음 정권도 있는 건데...저러고 싶을까???"
642,myba****,2022.10.08. 17:16,너님을 징계 안하는 윤리위가 이상하다준떡이 하나 잘못 키워 놓은거로 모자라나? 이제 직접 징계 해달라고 아우성이네...다음은 너님 차례이니 너무 보채지 말기를
643,ssei****,2022.10.08. 17:15,제발이재명과하워라 유씨
644,styl****,2022.10.08. 17:15,징계는무슨~~~끌어내려야쥬!!!!아주 열뻗쳐 못살것다!!!!!!입만열면 대놓고 거짓말!!!!
645,jull****,2022.10.08. 17:15,배신자는처벌안하나?유배신자
646,hyes****,2022.10.08. 17:15,윤석열당원 이xx 욕한놈은 왜? 징계안하냐? 거짓말로 포장한 거짓말정부는 얼마 못가서 무너질것이다.
647,mrsm****,2022.10.08. 17:15,바른말하는분도있네
648,ryuj****,2022.10.08. 17:15,이준석이 늙으면 유승민 ㅋㅋㅋㅋ 둘 다 넘 시로
649,bod2****,2022.10.08. 17:14,이준석 원조네그연륜에 표현이 그것밖에 안되나? 다시보인다 그쪼잔한 좁쌀만한 가슴으로 무슨대권도전을 자꾸하나?주접을떠네~
650,so90****,2022.10.08. 17:14,"이 시점에 그렇게 말하면 사람들이 유승민 당신이 똑똑하고, 개념있고 신념있는 사람이라 생각할까? 당신의 그말은 내부총질 그 이상도 그 이하도 아니다."
651,oms6****,2022.10.08. 17:14,다음총선도 민주당이 이기겠네..다들 부동산 물타기준비하시요~
652,siwo****,2022.10.08. 17:14,쥴리농장 개돼지들 가운데도 사람이 몇 존재하기는 하네~
653,cros****,2022.10.08. 17:13,배신자는 배신자다.박근혜가 너무 안타까워!!저런것들을 데리고 대통령을 했으니 결과는 불보듯.....쩝
654,choi****,2022.10.08. 17:13,닥치고 준서기 델꼬 너도 나가.
